Unnamed: 0	Title	label
60	국민안전로봇 2021년까지 개발…'로봇물고기' 전철 피할까?	0.0
81	'국정원 해킹 의혹' 상임위 앞두고 與野 전초전	0.0
151	인터넷티비(TV)결합상품 인터넷가입 비교사이트 통해 통신사별 장단점 비교해야 유리	0.0
157	SKT LG KT 인터넷가입 비교사이트 ‘펭귄통신’ 설치 당일 현금지원 이벤트	0.0
162	설 연휴 고향 가는 길 언제 출발해야 덜 막힐까	0.0
163	인터넷가입 KT·SK·LGU플러스 인터넷TV결합 설치 시 현금사은품 설치 당일지급 소비자 몰린다	0.0
178	'운서 SK뷰 스카이시티' 견본주택, 개관 3일간 1만여명 방문	0.0
181	카카오·삼성화재 디지털 보험사 도전	0.0
184	"[2019여성리더스포럼]""지속가능한 일 위해 회복탄력성 갖춰라"""	0.0
228	하나+SKT+키움證, 제3인터넷銀 도전	1.0
294	SKT ‘0’브랜드 한정판 제품 ‘0굿즈’ 11번가에서 출시	1.0
299	삼성카드 갤럭시노트9 ‘T 삼성카드2 V2’로 구매시 장기할부 서비스	0.0
328	"""평창 올림픽 마케팅은 올림픽 끝난 이후에나…"""	0.0
369	[특징주]SKT 하반기 실적 개선 기대…장 초반↑	1.0
372	다음달부터 모든 부동산거래 전자계약 가능해진다	0.0
458	에이치엘비 HUD 신제품 '아프로뷰 SO' 출시	0.0
531	이제 아이폰 수리할 때 37만5000원 선결제 안 해도 된다	0.0
590	매출 3억→18억 '껑충'…SK 대전창조경제센터 첫 졸업생 배출	0.0
605	[진화하는농촌]농장 온도·습도조절 스마트폰으로 간단하게	0.0
606	세븐일레븐 SK텔레콤과 '미래형 스마트 편의점' 구축 추진	1.0
624	[3월 4일]아시아경제 뉴스브리핑	0.0
637	이통사 폰 보조금 잇달아 하향조정…'대목' 앞두고 '숨고르기'	0.0
668	간편결제VS신용카드결제 간편함이냐 보안이냐	0.0
693	이통사 중고폰선보상제 종료하나…방통위 내일 최후통첩	0.0
704	SK그룹 'ICT' 수장 모두 교체…젊은 피·글로벌 강화 '키워드'	0.0
713	수장 바뀐 SKT SK플래닛 이익창출 시나리오는?	0.0
722	KB국민은행 증권대행업무 위탁회사 직원 워크숍	0.0
738	"미래부 ""출고가 인하=단통법 효과"""	1.0
783	"""단통법 알뜰폰 성장에 따른 요금인하 효과는 大 성공작"""	1.0
825	"""아이폰6 출시, 이통사 매출높은 고객 이탈 막을 것"""	1.0
868	SK C&C '클라우드 컨테이너'로 디지털 물류 혁신 나서	0.0
871	월 4000원대 무제한…KT 게임구독 서비스 정식 출시	0.0
888	"[컨콜]SK텔레콤 ""원스토어·ADT캡스 등 IPO 추진…준비되는 회사부터"""	1.0
897	사상 첫 5G 품질평가 SK텔레콤 웃었다…속도 1위	1.0
910	"LGU+ ""은행 ATM처럼 '무인 휴대전화 개통' 점진적 확대할 것""(종합)"	0.0
977	SK텔레콤 종이 서류 제출 없는 휴대폰 보험 시대 연다	1.0
1034	"""5G·AI로 사회문제 해결"" SK텔레콤 '총 상금 천만원' 행복 인사이트 개최"	0.0
1046	"[사람人]""구 시대 공식 깨자"" 박정호 대표의 '혁신과 헌신'"	0.0
1078	SKT-MS 5G기반 엑스클라우드 게임 100종…7개월만에 3.5배	1.0
1090	넷플릭스가 쏘아올린 머니게임…OTT 콘텐츠 올해만 46조원 	0.0
1099	서울시-SKT T맵 '남산1호터널'에 끊기지 않는 GPS 서비스 시작	1.0
1117	유료방송 통신3강 재편…독주하는 IPTV 케이블과 격차 더 커져	0.0
1166	SK텔레콤 점프 AR서 '전국 냥집사 이벤트'	1.0
1236	SK텔레콤 디지털 헬스케어 회사 '인바이츠 헬스케어' 설립	1.0
1255	"""유럽에서도 SKT 5G 인빌딩 기술쓴다"" 도이치텔레콤과 협력 결실"	1.0
1297	5G 첫해 출혈경쟁에도…SK텔레콤 17.7조 '최대' 매출(종합)	1.0
1323	"""해외서 무료 음성통화"" SKT 바로로밍 꿀팁"	1.0
1357	"[CES2020] ""첨단 삼성 보자""…순식간에 꽉 찬 전시관"	0.0
1360	[CES2020]네바다 사막은 지금‥최첨단 미래기술 경연장	0.0
1433	SKB, 다파장 유선가입자망 기술 개발 성공	0.0
1440	영화 '레디플레이어 원'이 현실로…SKT VR 세상 열다	1.0
1465	"""항공권, 맥북, 캐리어 쏜다"" SKT 수능 친 수험생 대상 이벤트 풍성"	1.0
1474	"SKT·SM엔터테인먼트 협력 결실…""아리야 노래 한곡 할까?"""	1.0
1480	[컨콜] '카톡광고'로 매출 1兆 예고…본격 돈벌이 나서는 카카오(종합)	0.0
1508	KT, 통신사에서 'AI 회사'로 도약…3천억 투자·1천명 채용(종합)	0.0
1529	SKT, 국내 공기질 예보 수준 높인다…브리조미터와 MoU	1.0
1555	"한상혁·이통3사 ""망 이용대가 공정성 도모할 것""(종합)"	0.0
1566	"SKB ""IPTV 고질적 문제, 실시간 방송 지연 없앴다"""	0.0
1569	KT넥스알, '빅데이터' 컨퍼런스 개최	0.0
1572	토종 OTT '웨이브' 순항…유료 가입자 100만 돌파	0.0
1578	"이용자 보호업무 평가 해봤더니…""SKT 가장 우수"""	1.0
1622	토종 OTT '웨이브' 출범 D-2	0.0
1626	추석 OTT 정주행.. 100원의 행복 등 '듬뿍'	0.0
1631	삼성도 AI 스피커 시장 참전…'갤럭시 홈 미니' 출시 임박	0.0
1635	"롯데월드타워·몰 ""추석 연휴기간 각종 체험 행사 즐기세요"""	0.0
1646	[스마트산단 시대] '혁신데이터 얼라이언스' 출범	0.0
1729	"[SKT컨콜]""내년 초 미디어부문 1000만 유효가입자 확보 예상"""	1.0
1748	"K리그 올스타 대 유벤투스 FC…""호날두만 골라보는 방법은?"""	0.0
1826	동반위, '이동통신판매업' 대·중소기업 상생협약식	0.0
1853	SK텔레콤·삼성전자, 5G 고도화·6G 개발 맞손	1.0
1861	SKT, 노키아·에릭슨과 5G·6G R&D 협력	1.0
1868	"""국방보안에도 초연결 융합보안 필요"""	0.0
1898	SK C&C, '건강 걷기 서비스' 오픈	0.0
1903	[최태원의 소셜밸류]SK그룹, '사회적 가치' 측정체계 구축해 본격 운영	0.0
1926	"V50 첫 주말 성적표 '우수'…""4만대 이상 개통"""	1.0
2022	"'무늬만 무제한' 5G 요금제 논란에 KT ""다각도 검토""(종합)"	0.0
2064	"SKT ""8만원대 데이터 무제한, 프로모션→정식요금제 고려"""	1.0
2087	[5G 초혁신시대 ④-1] '퍼스트 무버' 삼성, 노키아와 다른 길 가다	0.0
2115	SK텔레콤-에릭슨, 5G SA 코어망 개발 협력	1.0
2124	"""호수비, 고화질로 확대해 순간포착""…SKT '5GX 프로야구' 서비스"	1.0
2161	SK브로드밴드, 토종 클라우드PC 상용화	0.0
2224	"""SKT고객 해외로밍은 네이버가 책임진다"""	1.0
2267	[1G에서 6G까지] 음성통화에서 데이터 시대의 개막 #1	0.0
2272	"[SKT컨콜]""이동통신 사업, 올 하반기 턴어라운드 할 것"""	1.0
2301	최태원 SK 회장 다보스서 '사회적 가치' 설파	0.0
2321	항공사부터 박물관까지 MS의 클라우드 세상 한 눈에… '애저 에브리웨어'	0.0
2366	반사이익 '톡톡' 티맵택시 120만 돌파…12배 '폭증'	0.0
2371	'카풀 논란'에도 카카오택시 호출 12월 최다 ↑	0.0
2374	LGU+가 시작한 5G 속도전.. 갈길이 멀다	0.0
4419	정부, 구글 지도 해외 반출 불허 구글이 보완책 수용 안해 (상보)	0.0
4438	미래부, 2차 유료방송 발전방안 공개토론회 개최	0.0
4450	SKT, 전용폰 구입 고객에 T1 롤드컵 우승 기념품 증정	1.0
4462	'갤S7'사면 페이백 50만원 준다더니제2의 거성 모바일 사태?	0.0
4465	케이블TV 가입자도 내년 1월부터 SKT 요금할인받는다	1.0
4467	" ""가성비폰 전성시대  중가폰 시장서 선방"""	1.0
4514	美 AT&T, 타임워너 인수국내 통신·미디어社도 M&A 힘받는다	1.0
4562	갤노트7 가입자 50만명 교환 시작번호이동도 자유	0.0
4593	SKT, 2030 대상 '밴드YT 요금제' 출시 대학내·출퇴근시 데이터 무제한 	1.0
4657	SKT, AI 아이디어 모은다'누구나 주식회사' 설립	1.0
4671	갤럭시노트7, 싱가포르서 교환 시작韓·美서도 잇따라(종합)	0.0
4752	추억의 모바일 주소 'WINC', 연말 완전 종료	0.0
4766	불볕더위에도 50명 넘게 줄서 갤노트7 출시 뜨거운 열기	0.0
4778	[포토]SK텔레콤-인텔, IoT 기기에 실시간 통신 기술 심는다	1.0
4792	SKT 킬러서비스, 전국민에 푼다	1.0
4844	범정부 '지능정보사회추진단' 설립 AI 사회 밑그림 그린다 	0.0
4902	" ""O2O 배달원 맞나? 문 열기 전 T전화가 알려준다 """	1.0
4919	퇴직공직자 취업 제한 기업에 현직 공무원이 근무 민간근무휴직제도 아이러니 	0.0
4940	공정위의 SKT-CJ헬로비전 M&A 심사보고서, 그 내용은?	0.0
